level,service,method,url,body,status,uid,message
info,auth,POST,/api/auth/login,"{""username"":""john_doe"",""password"":""***""}",200,1001,User login successful
info,frontend,GET,/api/user/profile,,200,1001,Profile data retrieved
warn,game,POST,/api/game/start,"{""gameMode"":""classic""}",200,1001,High server load detected
error,auth,POST,/api/auth/login,"{""username"":""invalid_user"",""password"":""***""}",401,0,Authentication failed - invalid credentials
info,user_search,GET,/api/users/search?q=john,,200,1002,User search executed
info,game,PUT,/api/game/move,"{""gameId"":123,""move"":""paddle_up""}",200,1001,Game move processed
error,frontend,GET,/api/user/stats,,500,1003,Database connection failed
warn,auth,POST,/api/auth/refresh,"{""refreshToken"":""***""}",200,1001,Token refresh - approaching expiration
info,game,DELETE,/api/game/session,"{""gameId"":123}",200,1001,Game session ended
error,user_search,GET,/api/users/search?q=test,,429,1002,Rate limit exceeded for user search
